用例编号,传感器温度,输入电压,散热风扇状态,运行模式,预期结果
TC_0090,100度(越界),9V(欠压),未连接,低功耗,待补充
TC_0091,100度(越界),12V(额定),正常运转,待机,待补充
TC_0092,100度(越界),12V(额定),正常运转,全负载,待补充
TC_0093,100度(越界),12V(额定),正常运转,低功耗,待补充
TC_0094,100度(越界),12V(额定),堵转告警,待机,待补充
TC_0095,100度(越界),12V(额定),堵转告警,全负载,待补充
TC_0096,100度(越界),12V(额定),堵转告警,低功耗,待补充
TC_0097,100度(越界),12V(额定),未连接,待机,待补充
TC_0098,100度(越界),12V(额定),未连接,全负载,待补充
TC_0099,100度(越界),12V(额定),未连接,低功耗,待补充
TC_0100,100度(越界),16V(过压),正常运转,待机,待补充
TC_0101,100度(越界),16V(过压),正常运转,全负载,待补充
TC_0102,100度(越界),16V(过压),正常运转,低功耗,待补充
TC_0103,100度(越界),16V(过压),堵转告警,待机,待补充
TC_0104,100度(越界),16V(过压),堵转告警,全负载,待补充
TC_0105,100度(越界),16V(过压),堵转告警,低功耗,待补充
TC_0106,100度(越界),16V(过压),未连接,待机,待补充
TC_0107,100度(越界),16V(过压),未连接,全负载,待补充
TC_0108,100度(越界),16V(过压),未连接,低功耗,待补充
TC_0109,断路异常,9V(欠压),正常运转,待机,待补充
TC_0110,断路异常,9V(欠压),正常运转,全负载,待补充
TC_0111,断路异常,9V(欠压),正常运转,低功耗,待补充
TC_0112,断路异常,9V(欠压),堵转告警,待机,待补充
TC_0113,断路异常,9V(欠压),堵转告警,全负载,待补充
TC_0114,断路异常,9V(欠压),堵转告警,低功耗,待补充
TC_0115,断路异常,9V(欠压),未连接,待机,待补充
TC_0116,断路异常,9V(欠压),未连接,全负载,待补充
TC_0117,断路异常,9V(欠压),未连接,低功耗,待补充
TC_0118,断路异常,12V(额定),正常运转,待机,待补充
TC_0119,断路异常,12V(额定),正常运转,全负载,待补充
TC_0120,断路异常,12V(额定),正常运转,低功耗,待补充
TC_0121,断路异常,12V(额定),堵转告警,待机,待补充
TC_0122,断路异常,12V(额定),堵转告警,全负载,待补充
TC_0123,断路异常,12V(额定),堵转告警,低功耗,待补充
TC_0124,断路异常,12V(额定),未连接,待机,待补充
TC_0125,断路异常,12V(额定),未连接,全负载,待补充
TC_0126,断路异常,12V(额定),未连接,低功耗,待补充
TC_0127,断路异常,16V(过压),正常运转,待机,待补充
TC_0128,断路异常,16V(过压),正常运转,全负载,待补充
TC_0129,断路异常,16V(过压),正常运转,低功耗,待补充
TC_0130,断路异常,16V(过压),堵转告警,待机,待补充
TC_0131,断路异常,16V(过压),堵转告警,全负载,待补充
TC_0132,断路异常,16V(过压),堵转告警,低功耗,待补充
TC_0133,断路异常,16V(过压),未连接,待机,待补充
TC_0134,断路异常,16V(过压),未连接,全负载,待补充
TC_0135,断路异常,16V(过压),未连接,低功耗,待补充
